timestamp,delay_x,delay_y,rms0,rms1,rms2,rms3,label
2026-08-01 22:45:42,-2,-3,2296.1,3185.8,1937.8,1657.1,front
2026-08-01 22:45:43,-2,-3,4636.2,5168.4,3394.9,3567.1,front
2026-08-01 22:45:43,-2,-3,635.9,669.3,461.5,443.5,front
2026-08-01 22:45:45,-2,-3,1113.0,1175.7,852.1,857.4,front
2026-08-01 22:45:45,-3,-3,1477.2,1484.0,1127.8,1109.3,front
2026-08-01 22:45:46,-3,-3,1338.2,1265.4,940.1,974.1,front
2026-08-01 22:45:46,-2,-3,995.7,1060.4,730.5,805.2,front
2026-08-01 22:45:47,-2,-3,836.8,892.6,613.6,640.8,front
2026-08-01 22:45:47,-3,-3,1270.1,1215.2,904.0,939.9,front
2026-08-01 22:45:48,-2,-3,932.9,998.5,776.8,804.2,front
2026-08-01 22:45:48,-2,-3,698.9,756.1,516.6,580.9,front
2026-08-01 22:45:49,-2,-3,830.7,1025.0,717.9,708.6,front
2026-08-01 22:45:49,-2,-3,1057.6,1186.7,793.7,884.8,front
2026-08-01 22:45:50,-2,-3,1105.7,1033.4,792.9,832.6,front
2026-08-01 22:45:50,-2,-3,662.3,655.2,476.5,485.8,front
2026-08-01 22:45:51,-2,-3,1217.9,1502.6,901.8,908.4,front
2026-08-01 22:45:51,-2,-3,1012.9,1018.2,726.5,781.7,front
2026-08-01 22:45:52,-2,-3,840.5,838.7,525.8,572.1,front
2026-08-01 22:45:52,-2,-3,1690.7,2184.1,1328.9,1259.0,front
2026-08-01 22:45:53,-2,-3,1197.3,1126.4,811.0,863.4,front
2026-08-01 22:45:53,-2,-3,1810.5,1779.2,1267.4,1342.5,front
2026-08-01 22:45:54,-2,-3,2493.8,2885.6,1727.4,1707.2,front
2026-08-01 22:45:54,-2,-3,3722.5,3655.1,2599.1,2835.8,front
2026-08-01 22:45:55,-3,-3,2400.5,2487.3,1506.0,1765.0,front
2026-08-01 22:45:55,-2,-3,1024.1,1005.0,794.6,791.5,front
2026-08-01 22:45:57,-2,-3,853.6,1021.3,738.3,638.8,front
2026-08-01 22:45:58,-26,-3,5460.4,10085.2,6549.1,3691.7,front
2026-08-01 22:45:59,-32,3,2092.3,4581.8,3238.3,1468.4,front
2026-08-01 22:46:00,-2,-3,3321.0,3208.4,2094.5,2483.4,front
2026-08-01 22:46:01,-3,-3,4943.7,4857.5,3394.2,3330.7,front
2026-08-01 22:46:01,-2,-3,2075.5,2686.0,1580.3,1501.0,front
2026-08-01 22:46:02,-2,-3,1174.3,1478.1,936.4,901.6,front
2026-08-01 22:46:02,-2,-3,3929.4,4824.6,3111.7,2978.1,front
2026-08-01 22:46:03,-2,-3,5277.0,6316.6,4014.3,4014.1,front
2026-08-01 22:46:03,-2,-3,5505.2,6797.9,4151.7,4043.6,front
2026-08-01 22:46:04,-2,-3,4459.5,5223.0,3540.9,3333.2,front
2026-08-01 22:46:04,-2,-3,3789.5,4629.9,3106.5,2988.3,front
2026-08-01 22:46:05,-2,-3,2551.1,3027.4,2035.9,2001.2,front
2026-08-01 22:46:08,-3,-3,1195.6,1205.4,880.3,925.6,front
2026-08-01 22:46:09,-3,-1,4476.5,5284.0,4923.3,4798.2,front
2026-08-01 22:46:09,-3,-3,1734.1,1894.0,1284.6,1359.8,front
2026-08-01 22:47:50,2,3,524.7,501.8,697.0,770.6,rear
2026-08-01 22:47:51,2,3,307.2,318.7,383.2,467.0,rear
2026-08-01 22:47:52,-10,-9,3274.9,3139.2,6052.0,5591.5,rear
2026-08-01 22:47:53,2,3,725.4,783.2,938.0,1198.2,rear
2026-08-01 22:47:54,2,3,4210.1,3859.4,5766.9,6692.3,rear
2026-08-01 22:47:54,2,3,1032.0,1067.4,1569.1,1824.2,rear
2026-08-01 22:47:55,2,3,694.3,731.0,1001.6,1178.6,rear
2026-08-01 22:47:55,2,3,1145.9,1184.9,1604.2,1908.7,rear
2026-08-01 22:47:56,2,3,1741.2,1801.2,2559.0,3029.1,rear
2026-08-01 22:47:56,2,3,2211.1,2286.9,3362.6,3930.7,rear
2026-08-01 22:47:57,2,3,1967.7,2016.0,2859.9,3272.9,rear
2026-08-01 22:47:57,2,3,1996.3,2055.2,2922.0,3352.0,rear
2026-08-01 22:47:58,2,3,2061.3,2096.5,2971.8,3535.3,rear
2026-08-01 22:47:58,2,3,674.2,672.1,913.9,1065.0,rear
2026-08-01 22:48:01,3,2,351.2,380.9,512.1,477.6,rear
2026-08-01 22:48:02,3,3,526.8,579.0,876.2,826.3,rear
2026-08-01 22:48:02,3,2,1030.9,1070.0,1858.9,1490.1,rear
2026-08-01 22:48:03,3,2,530.8,561.3,795.7,729.9,rear
2026-08-01 22:48:04,3,2,431.8,504.3,770.4,701.6,rear
2026-08-01 22:48:06,2,3,1310.1,1323.7,1686.1,1803.8,rear
2026-08-01 22:48:06,2,3,1851.8,1850.7,2401.9,2749.6,rear
2026-08-01 22:48:07,2,3,1295.8,1402.7,1900.8,1980.6,rear
2026-08-01 22:48:07,2,3,897.9,946.1,1295.9,1425.5,rear
2026-08-01 22:48:08,2,3,907.6,950.7,1372.1,1446.0,rear
2026-08-01 22:48:08,2,3,2498.5,2616.5,3617.0,3943.9,rear
2026-08-01 22:48:09,2,3,1730.5,1697.6,2297.9,2492.6,rear
2026-08-01 22:48:09,2,3,2432.0,2534.6,3439.1,3599.6,rear
2026-08-01 22:48:10,2,3,1586.4,1713.4,2363.3,2393.4,rear
2026-08-01 22:48:10,3,3,1518.1,1549.3,2213.2,2215.6,rear
2026-08-01 22:48:11,3,2,869.8,915.5,1336.5,1264.2,rear
2026-08-01 22:48:12,3,3,3075.8,3198.4,4583.7,4604.2,rear
2026-08-01 22:48:12,3,3,1082.1,1117.9,1507.2,1551.2,rear
2026-08-01 22:48:13,3,3,1759.1,1970.0,2720.9,2725.2,rear
2026-08-01 22:48:13,3,3,2442.7,2528.3,3756.1,3795.2,rear
2026-08-01 22:48:14,3,3,2007.4,2081.5,3074.0,3067.2,rear
2026-08-01 22:48:14,3,3,1884.6,1987.2,2888.8,2949.0,rear
2026-08-01 22:48:15,3,3,752.7,801.9,1137.1,1132.3,rear
2026-08-01 22:48:15,3,3,672.4,703.9,979.7,990.3,rear
2026-08-01 22:48:16,3,3,1092.7,1172.6,1682.0,1670.0,rear
2026-08-01 22:48:16,3,3,1313.4,1395.8,2025.4,2038.7,rear
2026-08-01 22:48:17,2,3,956.9,997.6,1328.6,1408.0,rear
2026-08-01 22:48:17,2,3,1110.0,1076.1,1347.2,1606.8,rear
2026-08-01 22:48:18,2,3,1128.6,1142.6,1475.5,1536.0,rear
2026-08-01 22:48:18,3,3,974.0,1057.8,1178.7,1196.6,rear
2026-08-01 22:48:19,3,3,762.8,766.7,944.5,975.0,rear
2026-08-01 22:48:19,3,2,695.8,745.8,993.9,1000.4,rear
2026-08-01 22:48:20,3,2,949.0,1050.8,1550.8,1387.0,rear
2026-08-01 22:48:20,2,3,649.4,674.4,911.4,994.0,rear
2026-08-01 22:48:21,2,2,832.5,859.3,1387.4,1439.6,rear
2026-08-01 22:48:21,3,2,1681.6,1774.0,3155.3,2565.3,rear
2026-08-01 22:48:22,3,2,883.1,935.6,1954.1,1355.6,rear
2026-08-01 22:48:22,3,2,2606.6,2942.4,5326.6,4068.4,rear
2026-08-01 22:48:23,3,2,661.4,715.5,1029.0,978.9,rear
2026-08-01 22:48:23,3,2,716.3,685.7,791.9,783.2,rear
2026-08-01 22:48:24,3,2,544.0,542.7,628.7,652.4,rear
2026-08-01 22:48:24,3,2,814.4,937.6,936.3,933.8,rear
2026-08-01 22:48:25,3,2,659.2,677.5,870.2,863.6,rear
2026-08-01 22:48:25,3,2,671.4,748.6,1126.4,1027.9,rear
2026-08-01 22:48:26,3,2,1222.5,1280.9,2107.4,1799.2,rear
2026-08-01 22:48:26,3,2,1103.6,1262.4,1702.8,1565.5,rear
